img,check,assessor,time,date,img2
68_5_85,0,Charlotte,2019-06-04 20:56:34,2019-06-04 20:56:34,-
68_7_50,0,Charlotte,2019-06-04 20:56:34,2019-06-04 20:56:34,-
65_7_9,0,Charlotte,2019-06-04 20:50:06,2019-06-04 20:50:06,-
64_3_55,1,Charlotte,2019-06-04 20:48:49,2019-06-04 20:48:49,-
63_1_73,0,Charlotte,2019-06-04 20:46:06,2019-06-04 20:46:06,-
63_1_82,0,Charlotte,2019-06-04 20:46:06,2019-06-04 20:46:06,-
63_4_21,1,Charlotte,2019-06-04 20:46:06,2019-06-04 20:46:06,-
63_5_103,1,Charlotte,2019-06-04 20:46:06,2019-06-04 20:46:06,-
62_8_2,0,Charlotte,2019-06-04 20:44:08,2019-06-04 20:44:08,-
62_8_48,0,Charlotte,2019-06-04 20:44:08,2019-06-04 20:44:08,-
62_8_52,1,Charlotte,2019-06-04 20:44:08,2019-06-04 20:44:08,-
62_8_71,0,Charlotte,2019-06-04 20:44:08,2019-06-04 20:44:08,-
62_8_72,0,Charlotte,2019-06-04 20:44:08,2019-06-04 20:44:08,-
62_8_Roquette,1,Charlotte,2019-06-04 20:44:08,2019-06-04 20:44:08,-
62_1_14,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_1_35,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_1_42,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_1_51,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_1_82,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_2_84,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_4_104,1,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_4_21,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_4_49,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_4_80,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_5_20,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_5_32,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_5_50,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_5_53,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_5_73,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_5_81,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_6_44,1,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_7_37,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_7_39,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_7_67,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_7_68,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_7_83,1,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
62_7_97,0,Charlotte,2019-06-04 20:43:43,2019-06-04 20:43:43,-
61_4_68,0,Charlotte,2019-06-04 20:30:27,2019-06-04 20:30:27,-
61_5_4,0,Charlotte,2019-06-04 20:30:27,2019-06-04 20:30:27,-
61_8_51,0,Charlotte,2019-06-04 20:30:27,2019-06-04 20:30:27,-
60_6_44,0,Charlotte,2019-06-04 20:25:50,2019-06-04 20:25:50,-
60_8_27,0,Charlotte,2019-06-04 20:25:50,2019-06-04 20:25:50,-
58_1_14,0,Charlotte,2019-06-04 20:24:18,2019-06-04 20:24:18,-
58_1_30,0,Charlotte,2019-06-04 20:24:18,2019-06-04 20:24:18,-
55_1_14,0,Charlotte,2019-06-04 20:22:09,2019-06-04 20:22:09,-
