img,zone_id,quete,groupe,check,week,question,points,difficulté,type,zone_name,longitude,latitude,date,Make,Aperture,Model,ApertureValue,label,inzone
#1_#1_#99.jpeg,1,1,99,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Bois de Lauzelle,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#11_#3_#21.jpg,3,11,21,1,1,Trouvez une plante grimpante,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#11_#8_#99.jpeg,8,11,99,1,1,Trouvez une plante grimpante,1,facile,végétal,Biéreau-Baraque,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#140_#3_#21.jpg,3,140,21,1,1,Trouvez un lichen,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#142_#5_#21.jpg,5,142,21,1,1,Trouvez une dicotylédone,1,facile,végétal,Bois des Rêves,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#145_#3_#21.jpg,3,145,21,1,1,Trouvez une écorce blanche,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#146_#8_#99.jpeg,8,146,99,1,1,Trouvez une écorce qui se désquame,1,facile,végétal,Biéreau-Baraque,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#147_#5_#21.jpg,5,147,21,1,1,Trouvez un arbre avec une fourche,1,facile,végétal,Bois des Rêves,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#164_#1_#99.jpeg,1,164,99,1,1,Trouvez un diptère,1,facile,animal,Bois de Lauzelle,4.60439722222222,50.6735333333333,2019:04:26 09:01:30,Apple,2.2,iPhone 6s,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>99</b>,2
#164_#3_#21.jpg,3,164,21,0,1,Trouvez un diptère,1,facile,animal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#164_#5_#21.png,5,164,21,1,1,Trouvez un diptère,1,facile,animal,Bois des Rêves,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#169_#1_#99.jpeg,1,169,99,1,1,Trouvez un animal triploblastique,1,facile,animal,Bois de Lauzelle,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#169_#3_#21.jpg,3,169,21,1,1,Trouvez un animal triploblastique,1,facile,animal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#174_#1_#99.jpeg,1,174,99,1,1,Trouvez un mollusque pulmoné terrestre,1,facile,animal,Bois de Lauzelle,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#177_#1_#99.jpeg,1,177,99,1,1,Trouvez un Formicidae adulte,1,facile,animal,Bois de Lauzelle,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#18_#3_#21.jpg,3,18,21,-2,1,Trouvez une feuille sessile,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#183_#7_#21.jpg,7,183,21,0,1,Trouvez un gastéropode Arionidae,1,facile,animal,Vieusart,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#184_#5_#21.jpg,5,184,21,1,1,Trouvez un bovin,1,facile,animal,Bois des Rêves,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#188_#1_#99.jpeg,1,188,99,1,1,Trouvez un crustacé isopode terrestre,1,facile,animal,Bois de Lauzelle,4.60469444444444,50.6733055555556,2019:04:26 08:38:55,Apple,2.2,iPhone 6s,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>99</b>,2
#19_#8_#99.jpeg,8,19,99,1,1,Trouvez une feuille simple,1,facile,végétal,Biéreau-Baraque,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#193_#1_#99.jpeg,1,193,99,1,1,Trouvez un Araneae terrestre,1,facile,animal,Bois de Lauzelle,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#198_#8_#99.jpeg,8,198,99,1,1,Trouvez un hémiptère terrestre,2,moyen,animal,Biéreau-Baraque,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#20_#3_#21.jpg,3,20,21,0,1,Trouvez une feuille composée,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#20_#4_#99.jpeg,4,20,99,1,1,Trouvez une feuille composée,1,facile,végétal,Bruyères,4.61122222222222,50.665538888888896,2019:04:24 15:57:12,Apple,2.2,iPhone 6s,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>99</b>,2
#21_#1_#99.jpeg,1,21,99,1,1,Trouvez une feuille trifoliée,2,moyen,végétal,Bois de Lauzelle,4.60460833333333,50.6733361111111,2019:04:26 08:56:15,Apple,2.2,iPhone 6s,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>99</b>,2
#21_#3_#21.jpg,3,21,21,1,1,Trouvez une feuille trifoliée,2,moyen,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#22_#1_#99.jpeg,1,22,99,1,1,Trouvez une feuille composée-pennée,1,facile,végétal,Bois de Lauzelle,4.60445555555556,50.67345,2019:04:26 08:50:31,Apple,2.2,iPhone 6s,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>99</b>,2
#241_#3_#21.jpg,3,241,21,1,1,Trouvez un lamellibranche d’eau douce,3,difficile,animal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#30_#8_#99.jpeg,8,30,99,0,1,Trouvez des feuilles caulinaires alternes,1,facile,végétal,Biéreau-Baraque,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#31_#1_#99.jpeg,1,31,99,1,1,Trouvez des feuilles caulinaires verticillées,2,moyen,végétal,Bois de Lauzelle,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#41_#3_#21.jpg,3,41,21,1,1,Trouvez une feuille ovale,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#5_#1_#99.jpeg,1,5,99,1,1,Trouvez une fleur à symétrie radiaire,1,facile,végétal,Bois de Lauzelle,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#5_#3_#21.jpg,3,5,21,1,1,Trouvez une fleur à symétrie radiaire,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#7_#3_#21.jpg,3,7,21,1,1,Trouvez un gymnosperme,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#76_#8_#99.jpeg,8,76,99,1,1,Trouvez une plante en fleur de la famille des Asteraceae,1,facile,végétal,Biéreau-Baraque,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#79_#3_#21.jpg,3,79,21,0,1,Trouvez des fleurs solitaires,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#8_#1_#99.jpeg,1,8,99,1,1,Trouvez un bryophyte,1,facile,végétal,Bois de Lauzelle,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>99</b>,0
#8_#3_#21.jpg,3,8,21,1,1,Trouvez un bryophyte,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#84_#3_#21.jpg,3,84,21,1,1,Trouvez des fleurs groupées en épi,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>21</b>,0
#9_#1_#99.jpeg,1,9,99,1,1,Trouvez un ptéridophyte,1,facile,végétal,Bois de Lauzelle,4.60429444444444,50.6735,2019:04:26 08:58:26,Apple,2.2,iPhone 6s,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>99</b>,2
1_1_26.jpg.jpg,1,1,26,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Bois de Lauzelle,4.59584712972222,50.6747779844444,2019:04:26 12:43:06,HUAWEI,1.8,SNE-LX1,1.79626474576787,<p>Cette quête à été trouvée par le groupe <b>26</b>,1
1_1_55.jpg,1,1,55,-2,1,Trouvez une plante à tige carrée,1,facile,végétal,Bois de Lauzelle,4.60135838888889,50.6745986666667,2019:04:24 10:00:10,OnePlus,2.2,ONE E1003,2.14354692507259,<p>Cette quête à été trouvée par le groupe <b>55</b>,2
1_1_63.jpg,1,1,63,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Bois de Lauzelle,4.60273611111111,50.6732388888889,2019:04:25 16:33:08,samsung,1.7,SM-G930F,1.6993699982773,<p>Cette quête à été trouvée par le groupe <b>63</b>,2
1_2_13.jpeg,2,1,13,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Hocaille,4.61110555555556,50.6673666666667,2019:04:25 11:33:52,Apple,2.2,iPhone 6s,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>13</b>,2
1_2_14.JPG,2,1,14,4,1,Trouvez une plante à tige carrée,1,facile,végétal,Hocaille,4.60816944444444,50.6729444444444,2019:04:24 14:18:57,Apple,1.8,iPhone X,1.79999999993144,<p>Cette quête à été trouvée par le groupe <b>14</b>,2
1_3_1.JPG,3,1,1,4,1,Trouvez une plante à tige carrée,1,facile,végétal,Lac,4.60500555555556,50.6670333333333,2019:04:24 16:36:26,Apple,2.2,iPhone SE,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>1</b>,2
1_3_102.jpg,3,1,102,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Lac,4.60432222222222,50.6676222222222,2019:04:24 14:31:50,Apple,2.2,iPhone 6,2.2000000590909,<p>Cette quête à été trouvée par le groupe <b>102</b>,2
1_3_103.jpg,3,1,103,0,1,Trouvez une plante à tige carrée,1,facile,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>103</b>,0
1_3_23.jpg,3,1,23,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Lac,4.60602777777778,50.6676166666667,2019:04:24 15:28:47,Apple,2.2,iPhone SE,2.2000000590909,<p>Cette quête à été trouvée par le groupe <b>23</b>,2
1_3_45.jpg,3,1,45,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Lac,NA,NA,2019:04:24 15:29:12,HUAWEI,2.2,WAS-LX1A,2.1961856275741,<p>Cette quête à été trouvée par le groupe <b>45</b>,0
1_4_61.jpg,4,1,61,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Bruyères,4.60963333333333,50.6666,2019:04:26 11:34:25,Apple,1.8,iPhone XR,1.79999999993144,<p>Cette quête à été trouvée par le groupe <b>61</b>,2
1_4_70.JPG,4,1,70,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Bruyères,4.60921944444444,50.6662472222222,2019:04:25 11:43:20,Apple,2.2,iPhone SE,2.2000000590909,<p>Cette quête à été trouvée par le groupe <b>70</b>,2
1_6_105.jpg,6,1,105,0,1,Trouvez une plante à tige carrée,1,facile,végétal,Lauzelle-Centre,4.615,50.6708333333333,2019:04:24 09:46:32,samsung,2.4,SM-G960F,2.39495740923786,<p>Cette quête à été trouvée par le groupe <b>105</b>,2
1_6_29.jpg,6,1,29,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Lauzelle-Centre,4.61957358333333,50.6683010277778,2019:04:26 12:53:41,samsung,1.7,SM-A605FN,1.6993699982773,<p>Cette quête à été trouvée par le groupe <b>29</b>,0
1_6_96.jpg,6,1,96,-2,1,Trouvez une plante à tige carrée,1,facile,végétal,Lauzelle-Centre,4.61501264555556,50.6716461180556,2019:04:26 11:02:08,HUAWEI,2.2,ANE-LX1,2.1961856275741,<p>Cette quête à été trouvée par le groupe <b>96</b>,2
1_7_35.jpg,7,1,35,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Vieusart,4.65021388888889,50.6677472222222,2019:04:24 15:44:15,Apple,2.4,iPhone 5,2.40000000859426,<p>Cette quête à été trouvée par le groupe <b>35</b>,1
1_8_34.jpg,8,1,34,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Biéreau-Baraque,4.61668888888889,50.6695444444444,2019:04:26 18:05:41,Apple,2.4,iPod touch,2.40000000859426,<p>Cette quête à été trouvée par le groupe <b>34</b>,2
1_8_52.jpg,8,1,52,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Biéreau-Baraque,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>52</b>,0
1_8_73.JPG,8,1,73,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Biéreau-Baraque,4.61785833333333,50.6655611111111,2019:04:25 18:35:32,Apple,2.2,iPhone 6s,2.2000000590909,<p>Cette quête à été trouvée par le groupe <b>73</b>,2
